Long,Lat,Site,Name
-124.44739,48.31591,SJF, Shipwreck Pt.
-124.53461,48.34882,SJF, Bullman Beach
-124.59982,48.38473,SJF, Waddah Island
-124.63730,48.38775,SJF, Koitlah Point
-124.67690,48.39160,SJF, Midway Point
-124.72590,48.38567,Flattery, Cape Flattery
-124.73530,48.39173,Flattery, Tatoosh Island
-124.66701,48.29738,Anderson, Anderson Point
-124.69986,48.24684,Arches, Point of Arches
-124.69718,48.22684,Arches, Father and Son
-124.69536,48.20163,Arches, Duk Pt.
-124.73534,48.17109,Alava, Cape Alava
-124.73146,48.16046,Alava, South Ozette Island
-124.71217,48.12603,SandPoint, Sand Point
-124.69323,48.08908,YellowBanks, Yellow Banks
-124.68236,48.02153,Cedar, Cedar Creek
-124.67813,47.99179,Cedar, Saddle Rock
-124.67419,47.97425,Cedar, Bluff Point
-124.66598,47.95743,Cedar, Chilean memorial
-124.55831,47.85360,Destruction, Giants Graveyard
-124.48194,47.79370,Destruction, Perkins Reef
-124.48653,47.67452,Destruction, Destruction Island
