"ID","Sex","Resights","Sites","TotalTime","ShannonIndex","PreferredSite"
"SO02","F",59,7,5.5,1.63276752230620,"CD"
"SO03","F",2,1,5.5,0,"CD"
"SO04","F",7,4,2,1.18222300164511,"CD"
"SO06","M",42,5,4,1.39578439528822,"CD"
"SO07","F",13,5,2.25,1.49017520745265,"AL"
"SO08","F",3,3,2.75,1.09861228866811,"DES"
"SO09","F",79,5,5.25,1.25260279898553,"DES"
"SO11","F",35,6,5.75,1.35943356302575,"AL"
"SO12","M",41,2,1.75,0.557711123968858,"CD"
"SO13","M",47,3,1.75,0.785990339574414,"CD"
"SO14","F",65,7,2.25,1.76970264845019,"SJF"
"SO15","F",22,4,4,1.29165481507596,"CD"
"SO16","F",39,5,4.25,0.964313872179414,"AL"
"SO17","F",45,4,1.75,1.11868021067696,"CD"
"SO18","M",75,5,2.75,1.20316113279617,"SJF"
"SO19","M",12,4,1.75,0.871133270599332,"AL"
"SO20","M",50,5,1.75,1.09971126202834,"CD"
"SO21","M",5,3,1.5,1.03972077083992,"AL"
"SO22","M",58,8,3.5,1.47464760578372,"CD"
"SO23","F",89,6,3.25,1.56132405555932,"AL"
"SO25","M",52,6,2.5,1.50060297443370,"AR"
"SO26","F",84,5,2.5,1.02114427996045,"AL"
"SO28","M",67,5,2,1.42182565713977,"AND"
"SO29","F",123,7,4,1.54894472719655,"AR"
"SO30","F",44,5,2,1.15695146468605,"AR"
"SO31","F",74,4,3.25,0.737869568655072,"AL"
"SO32","F",13,2,2,0.286835983056161,"DES"
"SO33","F",4,3,0.5,1.03972077083992,"DES"
"SO34","F",73,4,1.25,0.364910008684412,"AL"
"SO35","F",57,5,2,1.22491308544593,"AL"
"SO36","M",5,1,0,0,"AL"
"SO37","F",63,5,1.75,1.25564768309662,"AL"
"SO38","F",25,2,0.75,0.687071764673509,"SP"
"SO40","M",19,3,2,0.932198172569004,"AL"
"SO41","F",78,7,3,1.20064748535873,"AL"
"SO42","F",61,4,1.25,0.609727274698508,"AL"
"SO43","M",57,6,3.25,1.08633248674485,"SP"
"SO44","F",95,4,2,0.500581227523906,"AL"
"SO45","F",93,6,2,1.42976941158861,"AL"
"SO46","F",22,4,0.75,0.868714858923396,"AL"
"SO47","M",6,3,0,0.867563228481461,"AL"
"SO48","F",32,7,2,1.77750412971114,"AL"
"SO49","F",8,4,2,1.19884931291362,"SP"
"SO50","F",36,7,2,1.45848012018126,"AL"
"SO51","F",41,4,2.25,1.30067812093045,"SP"
"SO52","F",40,4,1,1.16929025468743,"AL"
"SO53","M",39,5,3.75,0.723953759280725,"SJF"
"SO54","F",52,8,2.25,1.45935880631660,"AL"
"SO55","M",2,2,1,0.693147180559945,"CD"
"SO56","F",20,5,2.25,1.23547875144653,"AL"
"SO58","F",38,2,1,0.219032521789021,"AL"
"SO59","F",44,6,1,1.06079463903340,"AL"
"SO60","F",55,6,2.25,1.49253290468350,"AL"
"SO61","M",16,2,0.75,0.244930026794635,"SJF"
"SO62","M",38,4,1.25,1.10985569197979,"SJF"
"SO63","M",12,1,1,0,"SJF"
"SO64","M",29,2,1.25,0.450561208866305,"SJF"
"SO65","F",28,5,1.25,1.16163943298052,"FL"
"SO66","F",3,2,0,0.636514168294813,"AL"
"SO67","M",5,1,1.25,0,"SJF"
"SO68","F",29,4,1.25,1.14780009927947,"AL"
"SO69","F",7,2,0.25,0.376770161256437,"AL"
"SO70","F",25,6,1,1.52710935979569,"AL"
"SO71","F",10,1,0.5,0,"AL"
"SO72","M",5,4,0.5,1.32966134885476,"DES"
"SO73","F",21,5,0.75,1.18303115201056,"AL"
"SO74","F",3,2,0.25,0.562335144618808,"AL"
"SO75","F",3,2,0,0.636514168294813,"YB"
"SO76","F",4,3,0.25,1.03972077083992,"CD"
"SO77","F",4,2,0.25,0.636514168294813,"AL"
"SO78","F",7,1,0.25,0,"AL"
"SO79","M",4,2,0.25,0.562335144618808,"AL"
"SO80","F",5,5,0.25,1.58902691517397,"AR"
"SO81","F",6,3,0.25,0.900256051268537,"CD"
"SO82","F",5,3,0.25,0.867563228481461,"AL"
