"","ID","Sex","Resights","ShannonIndex"
"SO03","SO03","F",2,0
"SO36","SO36","M",5,0
"SO63","SO63","M",12,0
"SO67","SO67","M",5,0
"SO71","SO71","F",10,0
"SO78","SO78","F",7,0
"SO58","SO58","F",38,0.219032521789021
"SO61","SO61","M",16,0.244930026794635
"SO32","SO32","F",13,0.286835983056161
"SO34","SO34","F",73,0.364910008684412
"SO69","SO69","F",7,0.376770161256437
"SO64","SO64","M",29,0.450561208866305
"SO44","SO44","F",95,0.500581227523906
"SO12","SO12","M",41,0.557711123968858
"SO74","SO74","F",3,0.562335144618808
"SO79","SO79","M",4,0.562335144618808
"SO42","SO42","F",61,0.609727274698508
"SO66","SO66","F",3,0.636514168294813
"SO75","SO75","F",3,0.636514168294813
"SO77","SO77","F",4,0.636514168294813
"SO38","SO38","F",25,0.687071764673509
"SO55","SO55","M",2,0.693147180559945
"SO53","SO53","M",39,0.723953759280725
"SO31","SO31","F",74,0.737869568655072
"SO13","SO13","M",47,0.785990339574414
"SO47","SO47","M",6,0.867563228481461
"SO82","SO82","F",5,0.867563228481461
"SO46","SO46","F",22,0.868714858923396
"SO19","SO19","M",12,0.871133270599332
"SO81","SO81","F",6,0.900256051268537
"SO40","SO40","M",19,0.932198172569004
"SO16","SO16","F",39,0.964313872179414
"SO26","SO26","F",84,1.02114427996045
"SO21","SO21","M",5,1.03972077083992
"SO33","SO33","F",4,1.03972077083992
"SO76","SO76","F",4,1.03972077083992
"SO59","SO59","F",44,1.06079463903340
"SO43","SO43","M",57,1.08633248674485
"SO08","SO08","F",3,1.09861228866811
"SO20","SO20","M",50,1.09971126202834
"SO62","SO62","M",38,1.10985569197979
"SO17","SO17","F",45,1.11868021067696
"SO68","SO68","F",29,1.14780009927947
"SO30","SO30","F",44,1.15695146468605
"SO65","SO65","F",28,1.16163943298052
"SO52","SO52","F",40,1.16929025468743
"SO04","SO04","F",7,1.18222300164511
"SO73","SO73","F",21,1.18303115201056
"SO49","SO49","F",8,1.19884931291362
"SO41","SO41","F",78,1.20064748535873
"SO18","SO18","M",75,1.20316113279617
"SO35","SO35","F",57,1.22491308544593
"SO56","SO56","F",20,1.23547875144653
"SO09","SO09","F",79,1.25260279898553
"SO37","SO37","F",63,1.25564768309662
"SO15","SO15","F",22,1.29165481507596
"SO51","SO51","F",41,1.30067812093045
"SO72","SO72","M",5,1.32966134885476
"SO11","SO11","F",35,1.35943356302575
"SO06","SO06","M",42,1.39578439528822
"SO28","SO28","M",67,1.42182565713977
"SO45","SO45","F",93,1.42976941158861
"SO50","SO50","F",36,1.45848012018126
"SO54","SO54","F",52,1.45935880631660
"SO22","SO22","M",58,1.47464760578372
"SO07","SO07","F",13,1.49017520745265
"SO60","SO60","F",55,1.49253290468350
"SO25","SO25","M",52,1.50060297443370
"SO70","SO70","F",25,1.52710935979569
"SO29","SO29","F",123,1.54894472719655
"SO23","SO23","F",89,1.56132405555932
"SO80","SO80","F",5,1.58902691517397
"SO02","SO02","F",59,1.63276752230620
"SO14","SO14","F",65,1.76970264845019
"SO48","SO48","F",32,1.77750412971114
